frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.0,0.0,0.0,0.0,0.0,0.0
2,1.405274,1405.274,0.0,0.0,0.0,0.0
3,1.187188,1187.188,-317.808,-171.4818,-0.342964,-30.0
4,1.10571,1105.71,-312.6025,-165.0079,-0.330016,-30.0
5,1.092424,1092.424,-310.0187,-162.8746,-0.325749,-30.0
6,1.160407,1160.407,-310.0503,-162.9182,-0.325836,-30.0
7,1.011536,1011.536,-310.6761,-163.0255,-0.326051,-30.0
8,1.032542,1032.542,-325.0401,-177.046,-0.354092,-30.0
9,1.203824,1203.824,-347.6258,-189.2691,-0.378538,-30.0
10,1.077615,1077.615,-350.3074,-189.9634,-0.379927,-30.0
11,1.121048,1121.048,-352.989,-190.6577,-0.381315,-30.0
12,1.026816,1026.816,-355.6706,-191.352,-0.382704,-30.0
13,1.047724,1047.724,-358.3522,-192.0463,-0.384093,-30.0
14,1.106894,1106.894,-361.0337,-192.7406,-0.385481,-30.0
15,1.127126,1127.126,-363.7153,-193.4349,-0.38687,-30.0
16,1.034494,1034.494,-366.3969,-194.1292,-0.388258,-30.0
17,1.064966,1064.966,-357.3084,-213.3545,-0.426709,-30.0
18,1.073517,1073.517,-362.8552,-215.3469,-0.430694,-30.0
19,1.083383,1083.383,-364.3019,-216.0811,-0.432162,-30.0
20,1.062838,1062.838,-372.471,-216.3978,-0.432796,-30.0
21,1.090705,1090.705,-374.8861,-218.4163,-0.436833,-30.0
22,1.108366,1108.366,-377.3012,-220.4349,-0.44087,-30.0
23,1.064005,1064.005,-379.7163,-222.4534,-0.444907,-30.0
24,1.048198,1048.198,-382.1313,-224.4719,-0.448944,-30.0
25,1.071238,1071.238,-384.5464,-226.4905,-0.452981,-30.0
26,1.079535,1079.535,-386.9615,-228.509,-0.457018,-30.0
27,1.061378,1061.378,-389.3766,-230.5275,-0.461055,-30.0
28,1.107868,1107.868,-391.7917,-232.546,-0.465092,-30.0
29,1.046902,1046.902,-394.2067,-234.5646,-0.469129,-30.0
30,1.119896,1119.896,-374.3136,-218.7705,-0.437541,-30.0
31,1.02398,1023.98,-375.2524,-219.6103,-0.439221,-30.0
32,1.093054,1093.054,-376.1912,-220.4501,-0.4409,-30.0
33,1.043157,1043.157,-377.13,-221.2898,-0.44258,-30.0
34,1.073472,1073.472,-378.0688,-222.1296,-0.444259,-30.0
35,1.057486,1057.486,-379.9312,-220.8805,-0.441761,-30.0
36,1.092896,1092.896,-404.3068,-216.0704,-0.432141,-30.0
37,1.096839,1096.839,-425.4077,-210.7228,-0.421446,-30.0
38,1.108021,1108.021,-413.4022,-210.4672,-0.420934,-30.0
39,1.131104,1131.104,-397.9543,-212.8138,-0.425628,-30.0
40,1.205421,1205.421,-392.992,-212.9219,-0.425844,-30.0
41,1.328015,1328.015,-391.6868,-212.9311,-0.425862,-30.0
42,1.342319,1342.319,-397.5579,-219.1355,-0.438271,-30.0
43,1.417578,1417.578,-389.2774,-224.9455,-0.449891,-30.0
44,1.331301,1331.301,-388.9265,-226.0537,-0.452107,-30.0
45,1.382139,1382.139,-387.2873,-227.6193,-0.455239,-30.0
46,1.496269,1496.269,-390.0554,-225.4256,-0.450851,-30.0
47,1.313382,1313.382,-394.1194,-224.0304,-0.448061,-30.0
48,1.296146,1296.146,-397.0986,-223.0926,-0.446185,-30.0
49,1.463373,1463.373,-392.0045,-226.219,-0.452438,-30.0
50,1.277935,1277.935,-388.3856,-226.174,-0.452348,-30.0
51,1.327938,1327.938,-387.6405,-226.1476,-0.452295,-30.0
52,1.297332,1297.332,-391.165,-224.3941,-0.448788,-30.0
53,1.385678,1385.678,-391.3403,-222.4907,-0.444981,-30.0
54,1.295119,1295.119,-391.0298,-224.1049,-0.44821,-30.0
55,1.232105,1232.105,-397.5049,-222.6407,-0.445281,-30.0
56,1.159416,1159.416,-413.0784,-221.3605,-0.442721,-30.0
57,1.102663,1102.663,-409.9488,-222.5188,-0.445038,-30.0
58,1.09621,1096.21,-397.438,-224.7703,-0.449541,-30.0
59,1.067458,1067.458,-395.4173,-236.4015,-0.472803,-30.0
60,1.04649,1046.49,-401.1339,-243.4045,-0.486809,-30.0
61,1.126343,1126.343,-400.231,-243.1521,-0.486304,-30.0
62,1.090634,1090.634,-401.2195,-241.6389,-0.483278,-30.0
