frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.848535,848.535,0.0,0.0,0.0,0.0
3,0.532448,532.448,-357.2026,-209.8327,-0.419665,-30.0
4,0.52888,528.88,-358.6861,-210.0055,-0.420011,-30.0
5,0.487545,487.545,-373.0827,-209.5111,-0.419022,-30.0
6,0.445351,445.351,-408.0626,-205.3335,-0.410667,-30.0
7,0.443328,443.328,-422.7853,-204.0246,-0.408049,-30.0
8,0.440361,440.361,-398.5484,-208.5117,-0.417023,-30.0
9,0.50714,507.14,-403.8093,-208.4989,-0.416998,-30.0
10,0.428405,428.405,-409.0701,-208.4862,-0.416972,-30.0
11,0.427712,427.712,-365.8333,-214.4352,-0.42887,-30.0
12,0.474043,474.043,-402.5238,-210.1204,-0.420241,-30.0
13,0.458572,458.572,-417.0609,-209.8032,-0.419606,-30.0
14,0.426708,426.708,-415.4592,-211.5885,-0.423177,-30.0
15,0.425097,425.097,-405.8347,-209.9583,-0.419917,-30.0
16,0.442314,442.314,-386.7726,-198.7578,-0.397516,-30.0
17,0.474987,474.987,-352.843,-181.7154,-0.363431,-30.0
18,0.428244,428.244,-336.2964,-172.5804,-0.345161,-30.0
19,0.427056,427.056,-330.967,-167.9465,-0.335893,-30.0
20,0.491337,491.337,-331.5873,-165.8986,-0.331797,-30.0
21,0.474743,474.743,-334.3158,-176.5336,-0.353067,-30.0
22,0.440939,440.939,-313.2788,-197.9473,-0.395895,-30.0
23,0.443057,443.057,-300.4405,-210.6014,-0.421203,-30.0
24,0.457103,457.103,-294.9087,-215.3536,-0.430707,-29.490872
25,0.444554,444.554,-307.7133,-217.5506,-0.435101,-30.0
26,0.457785,457.785,-354.6919,-218.2991,-0.436598,-30.0
27,0.425082,425.082,-354.0238,-220.6406,-0.441281,-30.0
28,0.425781,425.781,-353.3557,-222.982,-0.445964,-30.0
29,0.42769,427.69,-352.6876,-225.3234,-0.450647,-30.0
30,0.425447,425.447,-352.0195,-227.6648,-0.45533,-30.0
31,0.423173,423.173,-365.313,-227.3763,-0.454753,-30.0
32,0.444475,444.475,-330.875,-233.8479,-0.467696,-30.0
33,0.442946,442.946,-320.4825,-235.8908,-0.471782,-30.0
34,0.440548,440.548,-342.1753,-237.6513,-0.475303,-30.0
35,0.440523,440.523,-340.9818,-240.0692,-0.480138,-30.0
36,0.393456,393.456,-339.7883,-242.487,-0.484974,-30.0
37,0.410979,410.979,-338.5948,-244.9048,-0.48981,-30.0
38,0.427313,427.313,-337.4013,-247.3227,-0.494645,-30.0
39,0.411662,411.662,-336.2078,-249.7405,-0.499481,-30.0
40,0.456918,456.918,-335.0143,-252.1584,-0.504317,-30.0
41,0.441181,441.181,-333.8208,-254.5762,-0.509152,-30.0
42,0.443899,443.899,-332.6274,-256.994,-0.513988,-30.0
43,0.458601,458.601,-331.4339,-259.4119,-0.518824,-30.0
44,0.455948,455.948,-330.2404,-261.8297,-0.523659,-30.0
45,0.453042,453.042,-329.0469,-264.2476,-0.528495,-30.0
46,0.443187,443.187,-327.8534,-266.6654,-0.533331,-30.0
47,0.445132,445.132,-326.6599,-269.0832,-0.538166,-30.0
48,0.442157,442.157,-325.4664,-271.5011,-0.543002,-30.0
49,0.441411,441.411,-324.2729,-273.9189,-0.547838,-30.0
50,0.458405,458.405,-323.0794,-276.3368,-0.552674,-30.0
51,0.443074,443.074,-321.8859,-278.7546,-0.557509,-30.0
52,0.428375,428.375,-320.6924,-281.1724,-0.562345,-30.0
53,0.398407,398.407,-319.499,-283.5903,-0.567181,-30.0
54,0.452354,452.354,-318.3055,-286.0081,-0.572016,-30.0
55,0.426394,426.394,-317.112,-288.426,-0.576852,-30.0
56,0.429507,429.507,-311.375,-189.8132,-0.379626,-30.0
57,0.440859,440.859,-279.5536,-188.5931,-0.377186,-27.955363
58,0.412702,412.702,-286.3988,-189.4039,-0.378808,-28.639881
