frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.037023,51.109,-0.4078,15.7438,0.031488,0.040779
2,0.044515,42.518,0.4343,10.2597,0.020519,-0.043427
3,0.036658,54.744,-1.5034,16.148,0.032296,0.150344
4,0.031642,50.647,3.0301,9.5952,0.01919,-0.303007
5,0.035835,38.666,1.9796,15.924,0.031848,-0.197961
6,0.036222,45.675,-0.1915,12.477,0.024954,0.019146
7,0.045017,43.817,1.3583,16.6595,0.033319,-0.135827
8,0.040075,43.34,-2.5184,14.2772,0.028554,0.251841
9,0.031237,41.703,-5.7411,13.6369,0.027274,0.574106
10,0.030369,43.132,1.8032,12.2117,0.024423,-0.180324
11,0.033912,36.607,2.7454,13.9599,0.02792,-0.274543
12,0.042501,47.415,6.0771,13.9266,0.027853,-0.60771
13,0.035423,47.003,-10.0383,13.726,0.027452,1.003832
14,0.036653,46.138,4.5077,12.8341,0.025668,-0.450774
15,0.034958,39.285,-1.8749,21.7827,0.043565,0.187493
16,0.034837,50.609,2.7012,13.661,0.027322,-0.270124
17,0.038038,43.625,3.7406,17.0101,0.03402,-0.374064
18,0.040174,51.071,2.1521,15.2087,0.030417,-0.21521
19,0.040441,40.612,5.8483,14.012,0.028024,-0.584827
20,0.031505,38.355,8.8686,13.6642,0.027328,-0.886864
21,0.04039,47.782,11.0902,13.4748,0.02695,-1.109024
22,0.034668,42.226,9.3,14.2512,0.028502,-0.930003
23,0.032771,47.221,1.9189,14.4129,0.028826,-0.191886
24,0.036448,51.36,11.0357,10.7601,0.02152,-1.103574
25,0.033879,51.916,1.1865,15.773,0.031546,-0.118654
26,0.036254,42.748,13.4479,14.2282,0.028456,-1.344785
27,0.034909,42.883,13.4996,18.063,0.036126,-1.349957
28,0.033499,40.377,9.5795,15.5701,0.03114,-0.957945
29,0.025816,55.445,2.0114,13.7891,0.027578,-0.201138
30,0.030786,47.904,12.5578,14.2774,0.028555,-1.255784
31,0.035087,40.032,7.9846,16.4303,0.032861,-0.798464
32,0.021376,48.03,10.7523,13.2754,0.026551,-1.075231
33,0.029352,40.134,16.7963,12.5354,0.025071,-1.679631
34,0.037077,49.008,10.5494,10.1529,0.020306,-1.054943
35,0.036465,51.449,11.6656,18.7225,0.037445,-1.166559
36,0.035467,44.182,13.2111,16.9402,0.03388,-1.321109
37,0.029467,49.713,7.6413,10.9878,0.021976,-0.76413
38,0.031947,43.272,14.6014,14.8002,0.0296,-1.460142
39,0.023188,45.518,13.5242,15.1527,0.030305,-1.352419
40,0.033011,42.827,22.9225,10.5024,0.021005,-2.292254
41,0.040979,44.394,9.1983,12.7409,0.025482,-0.919828
42,0.031188,62.225,20.9477,9.4552,0.01891,-2.094765
43,0.041525,46.327,21.5605,16.1281,0.032256,-2.156051
44,0.034041,43.639,25.9306,13.1027,0.026205,-2.593055
45,0.044108,56.922,24.4496,14.1921,0.028384,-2.444963
46,0.039601,34.619,24.2652,11.938,0.023876,-2.426519
47,0.039186,46.57,25.823,13.8117,0.027623,-2.582297
48,0.0395,49.508,20.4966,13.9772,0.027954,-2.049663
49,0.031114,50.094,22.2154,16.8308,0.033662,-2.221535
50,0.025799,47.844,25.5607,15.816,0.031632,-2.556074
51,0.032841,41.462,22.7137,12.8005,0.025601,-2.271373
52,0.043891,32.952,20.922,16.1736,0.032347,-2.092204
53,0.029316,47.557,24.6447,10.5969,0.021194,-2.464469
54,0.039467,45.286,25.2049,16.0392,0.032078,-2.520487
55,0.036265,43.672,21.434,16.3789,0.032758,-2.143396
56,0.038796,47.458,27.1545,18.2368,0.036474,-2.715451
57,0.043283,42.472,30.709,13.0321,0.026064,-3.070899
58,0.033724,42.791,10.4261,9.0956,0.018191,-1.042612
59,0.035055,41.687,16.1145,16.439,0.032878,-1.611446
60,0.029861,42.443,21.4892,14.3211,0.028642,-2.148919
61,0.030641,38.326,24.5711,11.3106,0.022621,-2.45711
62,0.03447,51.58,29.8017,13.7436,0.027487,-2.980166
63,0.035777,37.751,26.7273,8.1089,0.016218,-2.672733
64,0.03212,41.981,27.6887,9.6546,0.019309,-2.76887
65,0.02498,43.853,31.1801,9.1848,0.01837,-3.118013
66,0.034032,42.837,24.5984,11.7446,0.023489,-2.459841
67,0.043229,42.249,26.5285,8.1793,0.016359,-2.652853
68,0.028713,46.215,25.0857,9.777,0.019554,-2.508567
69,0.043769,50.368,25.0239,9.9534,0.019907,-2.502394
70,0.030309,44.707,26.929,13.7087,0.027417,-2.692903
