frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,0.040836,61.245,-3.8629,33.7214,0.067443,0.386288
2,0.046655,65.601,13.884,36.7206,0.073441,-1.388405
3,0.048956,54.79,-7.8846,33.8226,0.067645,0.788461
4,0.031527,56.912,-16.592,45.8986,0.091797,1.659197
5,0.040363,51.083,45.9034,36.1501,0.0723,-4.590342
6,0.034326,55.935,14.9641,41.3096,0.082619,-1.496411
7,0.038218,57.046,4.5569,51.5042,0.103008,-0.455689
8,0.043964,55.214,26.5085,45.5331,0.091066,-2.650847
9,0.037751,50.517,-0.8937,47.0775,0.094155,0.08937
10,0.037106,54.133,28.9636,45.2772,0.090554,-2.896364
11,0.038919,48.883,-1.677,42.6852,0.08537,0.167705
12,0.039154,47.151,36.7687,47.0188,0.094038,-3.676872
13,0.037839,50.253,27.1937,41.996,0.083992,-2.719367
14,0.037869,57.625,15.2336,28.9237,0.057847,-1.523358
15,0.039433,57.01,37.521,43.1047,0.086209,-3.752097
16,0.035875,56.088,24.5996,40.4984,0.080997,-2.459958
17,0.040276,51.317,12.2463,34.1537,0.068307,-1.224628
18,0.041598,58.711,31.6649,42.7942,0.085588,-3.16649
19,0.05233,55.644,26.9695,44.2369,0.088474,-2.696953
20,0.034726,54.985,12.9834,33.2853,0.066571,-1.298339
21,0.038353,54.796,20.3611,41.78,0.08356,-2.036106
22,0.044754,55.003,7.2489,32.5514,0.065103,-0.724891
23,0.035215,53.205,31.8945,52.7057,0.105411,-3.189448
24,0.040767,53.816,28.0739,30.1784,0.060357,-2.807387
25,0.031919,51.878,32.4608,39.2434,0.078487,-3.246081
26,0.035674,53.476,34.1854,33.7083,0.067417,-3.418544
27,0.028777,58.109,18.3217,35.9645,0.071929,-1.83217
28,0.030172,56.408,19.6007,35.327,0.070654,-1.960069
29,0.043489,52.219,26.3345,39.0142,0.078028,-2.633452
30,0.037302,54.616,45.0876,24.7027,0.049405,-4.508764
31,0.045319,56.571,16.5731,31.3996,0.062799,-1.657315
32,0.038836,50.831,35.6235,31.4075,0.062815,-3.562353
33,0.041021,54.616,26.091,28.6745,0.057349,-2.609101
34,0.042947,49.124,26.1218,18.7846,0.037569,-2.612175
35,0.042977,52.571,32.262,28.715,0.05743,-3.226203
36,0.041653,56.765,50.7637,45.3393,0.090679,-5.076371
37,0.037824,55.346,39.6059,33.6388,0.067278,-3.960594
38,0.043792,62.473,51.1911,37.6245,0.075249,-5.119111
39,0.033842,55.429,41.8155,34.016,0.068032,-4.181546
40,0.037826,53.884,21.2061,26.2168,0.052434,-2.120615
41,0.038165,55.195,26.1264,44.2836,0.088567,-2.612637
42,0.045076,62.744,38.3978,29.9384,0.059877,-3.839782
43,0.035205,48.073,54.647,32.1237,0.064247,-5.464704
44,0.037707,50.362,49.2119,22.4094,0.044819,-4.921193
45,0.038793,60.901,35.808,42.6183,0.085237,-3.580804
46,0.04159,51.86,45.8833,40.8558,0.081712,-4.588328
47,0.035993,56.798,29.1199,25.5564,0.051113,-2.911985
48,0.035225,52.862,49.3512,43.333,0.086666,-4.935119
49,0.047694,59.556,55.2531,39.7663,0.079533,-5.525309
50,0.042856,51.103,65.4991,39.5013,0.079003,-6.54991
51,0.043288,56.768,41.1901,29.0041,0.058008,-4.119007
52,0.043624,51.128,39.4154,23.1631,0.046326,-3.941536
53,0.033366,61.611,61.3913,37.0854,0.074171,-6.139128
54,0.030945,48.093,54.2963,34.8737,0.069747,-5.429628
55,0.04464,56.587,41.7833,29.7455,0.059491,-4.178327
56,0.034487,60.12,48.9947,31.6246,0.063249,-4.89947
57,0.046495,53.591,61.0175,31.2974,0.062595,-6.101749
58,0.042315,51.223,57.6478,28.2305,0.056461,-5.764777
59,0.035393,62.341,65.2783,41.3606,0.082721,-6.527831
60,0.046,47.279,41.96,30.1043,0.060209,-4.195999
61,0.04646,59.092,44.2191,30.6206,0.061241,-4.421913
62,0.040164,58.192,57.0106,22.4661,0.044932,-5.701058
63,0.035442,58.167,57.4564,33.7607,0.067521,-5.745638
64,0.04183,54.165,81.9462,40.1024,0.080205,-8.194619
